"carat","cut","color","clarity","depth_percentage","table","price","length","width","depth"
1.53,"Ideal","I","SI2",61.8,56,6.255,7.4,7.35,4.56
0.98,"Fair","F","SI1",61.8,66,3.622,6.38,6.27,3.91
1.01,"Very Good","G","VVS2",63.4,55,6.968,6.41,6.34,4.04
0.71,"Very Good","H","VS1",62.6,58,2.423,5.72,5.75,3.59
0.76,"Ideal","D","SI2",62.2,57,2.706,5.85,5.83,3.63
0.75,"Premium","I","VS2",60,57,2.329,5.93,5.9,3.55
0.93,"Premium","F","VS2",62.1,59,4.961,6.24,6.28,3.89
1,"Very Good","F","SI2",63.3,60,4.749,6.32,6.25,3.98
1.5,"Premium","G","I1",60.4,55,4.14,7.4,7.32,4.45
1.17,"Very Good","J","I1",60.2,61,2.774,6.83,6.9,4.13
1.2,"Ideal","G","SI2",58.9,60,5.562,6.98,6.94,4.1
0.74,"Premium","H","VS2",62.1,56,2.532,5.83,5.79,3.61
0.7,"Ideal","F","SI1",61.1,56,2.671,5.74,5.78,3.52
1.5,"Good","D","SI2",61.1,64,7.722,7.26,7.35,4.46
1.29,"Premium","J","VVS2",62.6,59,6.356,6.98,6.91,4.35
1.06,"Premium","G","SI1",62.7,56,5.183,6.55,6.46,4.08
0.9,"Good","I","VVS2",62.9,61,3.946,6.1,6.14,3.85
1.01,"Ideal","G","VS2",61.9,58,6.449,6.37,6.43,3.96
1.12,"Premium","G","SI2",62.8,58,4.478,6.62,6.57,4.14
1.01,"Ideal","E","I1",62,57,3.388,6.37,6.41,3.96
1.23,"Ideal","H","I1",61.8,56,4.025,6.85,6.91,4.25
1.06,"Ideal","G","VS2",62.2,56,6.66,6.51,6.54,4.06
1,"Ideal","I","SI2",61.7,56,2.873,6.45,6.41,3.97
0.91,"Very Good","E","SI2",62.8,61,3.703,6.07,6.09,3.82
0.9,"Premium","G","VS2",62.8,58,4.137,6.14,6.09,3.84
0.5,"Ideal","F","VVS2",62,55,2.052,5.1,5.12,3.17
0.9,"Fair","E","SI1",64.9,56,3.743,6.12,6.18,3.99
0.92,"Ideal","D","SI2",61.9,56,2.84,6.27,6.2,3.86
1.35,"Ideal","F","SI2",62.9,56,5.761,7.05,7.03,4.43
0.7,"Very Good","F","VS2",61.6,58,2.362,5.7,5.72,3.52
0.7,"Ideal","G","VS2",61.5,57,3.253,5.7,5.74,3.52
0.63,"Premium","G","VS2",60.4,58,2.391,5.6,5.59,3.38
1.23,"Ideal","H","SI2",62.1,56,6.199,6.85,6.82,4.24
0.53,"Ideal","E","VVS1",61.7,57,2.407,5.17,5.21,3.2
1.6,"Premium","F","SI2",61.8,57,6.899,7.51,7.46,4.63
0.74,"Ideal","E","VVS2",62.2,57,4.082,5.78,5.83,3.61
0.76,"Ideal","I","VS2",61.8,56,3.577,5.85,5.89,3.63
1.25,"Premium","G","VS2",61.2,57,7.948,6.95,6.91,4.24
1.06,"Ideal","E","VS2",61.8,55,7.788,6.59,6.51,4.05
0.91,"Very Good","G","SI1",62.8,58,4.045,6.15,6.18,3.87
1.05,"Ideal","D","VS2",61.7,59,7.965,6.5,6.53,4.02
0.8,"Good","F","VS2",60.5,62.3,3.283,5.97,6.01,3.62
1.19,"Very Good","H","SI1",62.7,61,5.595,6.66,6.73,4.2
1.04,"Ideal","H","VS1",62.5,53,6.368,6.5,6.52,4.07
1.01,"Premium","I","SI1",61.8,58,4.072,6.45,6.37,3.96
0.92,"Very Good","D","I1",63,58,2.674,6.13,6.18,3.88
1.45,"Ideal","J","VS2",61.9,59,7.477,7.16,7.21,4.45
0.96,"Premium","D","SI2",59.1,58,4.388,6.53,6.44,3.83
0.7,"Fair","I","VVS2",64.7,55,2.117,5.62,5.51,3.6
1.01,"Very Good","D","SI1",59.8,56,5.394,6.57,6.6,3.94
0.92,"Ideal","H","SI1",60.5,57,4.325,6.27,6.32,3.81
0.76,"Premium","G","VS1",59.6,57,2.937,6.01,5.91,3.55
0.7,"Ideal","G","VVS2",63,55,2.993,5.65,5.69,3.57
0.7,"Very Good","F","SI2",62.9,56,2.131,5.68,5.71,3.58
1.14,"Ideal","G","VS2",61.5,57,7.171,6.72,6.68,4.12
1,"Fair","D","SI1",64.9,59,4.704,6.2,6.13,4
1.02,"Very Good","I","SI2",62.6,56,4.084,6.41,6.44,4.02
1.25,"Ideal","J","VVS2",61.1,57,6.084,6.94,6.91,4.23
0.7,"Ideal","H","VS1",61.2,55,3.185,5.71,5.76,3.51
1,"Very Good","F","SI2",61.1,61,4.372,6.35,6.38,3.89
1.04,"Very Good","G","VVS2",62.8,54,7.481,6.39,6.5,4.05
1.19,"Good","E","VS2",57.4,60,6.937,6.9,7,3.99
0.64,"Ideal","D","VS2",60.7,59,2.224,5.58,5.62,3.4
1.01,"Premium","G","VS2",61.2,59,5.131,6.43,6.37,3.92
1.15,"Ideal","H","SI1",63,57,4.911,6.71,6.66,4.21
1.09,"Ideal","E","SI2",59.4,57,3.76,6.74,6.65,3.98
1,"Premium","G","VVS1",61.3,62,7.644,6.37,6.35,3.9
0.67,"Premium","G","VS2",61,61,2.05,5.66,5.61,3.44
0.7,"Ideal","H","VVS2",62.5,56,2.644,5.7,5.63,3.54
0.53,"Ideal","G","VVS2",61.4,57,2.051,5.26,5.19,3.21
0.9,"Very Good","H","SI2",59.5,63,3.105,6.31,6.26,3.74
0.71,"Ideal","F","VS2",61.8,56.2,3.123,5.7,5.75,3.53
0.8,"Ideal","F","VS1",61.2,56,3.793,6.01,5.98,3.67
1.05,"Premium","G","SI1",59.1,57,4.51,6.73,6.63,3.95
0.71,"Very Good","G","VS2",63.1,56,2.462,5.58,5.77,3.58
1.13,"Premium","G","VS2",62.5,58,6.743,6.69,6.59,4.15
1.14,"Very Good","H","SI1",59.2,58,4.89,6.8,6.86,4.04
1.22,"Premium","E","SI1",59.7,61,6.403,7.03,6.9,4.16
0.91,"Premium","E","SI2",58.5,60,3.379,6.34,6.31,3.7
1.02,"Very Good","G","SI2",63.8,55,4.501,6.37,6.4,4.07
0.7,"Ideal","D","SI2",62.1,56,2.575,5.67,5.71,3.53
0.71,"Very Good","D","SI1",60.9,60,2.69,5.71,5.76,3.49
1.01,"Premium","D","SI2",62.6,60,4.338,6.4,6.37,4
0.78,"Ideal","I","VS2",61.2,58,2.652,5.88,5.92,3.61
1,"Ideal","G","VVS2",60.8,57,7.885,6.47,6.45,3.93
0.53,"Ideal","G","VVS2",62.2,54,2.051,5.22,5.17,3.23
0.71,"Ideal","G","SI1",61.5,57,2.345,5.74,5.78,3.54
0.82,"Ideal","I","VS1",62.3,57,2.522,5.98,6.02,3.74
0.71,"Ideal","H","VS1",61.4,56,3.229,5.74,5.78,3.54
1.01,"Premium","I","SI2",59.6,62,3.767,6.56,6.5,3.89
0.52,"Ideal","F","IF",61.7,57,2.733,5.13,5.17,3.18
1.25,"Very Good","H","VS2",60.3,54,7.414,7,7.03,4.23
0.71,"Very Good","G","SI1",57.5,61,2.644,5.91,5.96,3.41
1.01,"Very Good","H","SI1",63.1,59,4.836,6.36,6.32,4
0.91,"Very Good","E","SI2",60,60,3.438,6.23,6.28,3.75
0.76,"Premium","F","SI1",60.3,58,2.607,5.91,5.96,3.58
0.75,"Ideal","H","SI1",62.1,57,2.165,5.82,5.78,3.6
1.01,"Premium","H","SI1",59.2,58,3.417,6.58,6.56,3.89
